role	user name	pass
shiper	ship01	123
shiper	ship02	123
shiper	ship03	123
shiper	ship04	123
shiper	ship05	123
shiper	ship06	123
shiper	ship07	123
shiper	ship08	123
shiper	ship09	123
shiper	ship10	123
shiper	res01	123
shiper	res02	123
shiper	res03	123
shiper	res04	123
shiper	res05	123
shiper	res06	123
shiper	res07	123
shiper	res08	123
shiper	res09	123
shiper	res10	123
shiper	res11	123
restaurant	res12	123
restaurant	res13	123
restaurant	res14	123
restaurant	res15	123
restaurant	res16	123
restaurant	res17	123
restaurant	res18	123
restaurant	res19	123
restaurant	res20	123
restaurant	res21	123
restaurant	res22	123
restaurant	res23	123
restaurant	res24	123
restaurant	res25	123
restaurant	res26	123
restaurant	res27	123
restaurant	res28	123
restaurant	res29	123
restaurant	res30	123
restaurant	res31	123
restaurant	res32	123
restaurant	res33	123
restaurant	res34	123
restaurant	res35	123
restaurant	res36	123
restaurant	res37	123
restaurant	res38	123
restaurant	res39	123
restaurant	res40	123
restaurant	res41	123
restaurant	res42	123
restaurant	res43	123
restaurant	res44	123
restaurant	res45	123
restaurant	res46	123
restaurant	res47	123
restaurant	res48	123
restaurant	res49	123
restaurant	res50	123
restaurant	res51	123
restaurant	res52	123
restaurant	res53	123
restaurant	res54	123
restaurant	res55	123
restaurant	res56	123
restaurant	res57	123
restaurant	res58	123
restaurant	res59	123
restaurant	res60	123
customer	user01	123
customer	user02	321
customer	user03	123
customer	user04	123
customer	user05	123
customer	user06	123
customer	user07	123
customer	user08	123
customer	user09	123
customer	user10	123
admin	admin	123
